bairro;mun;qt_den 
PARQUE SANTO ANTONIO;DUQUE DE CAXIAS;18;
MANGUERINHA;DUQUE DE CAXIAS;2;
CIDADE DOS MENINOS;DUQUE DE CAXIAS;17;
SUMARE;DUQUE DE CAXIAS;2;
JARDIM LIDER;DUQUE DE CAXIAS;308;
NILZA;DUQUE DE CAXIAS;1;
PARQUE BARAO DO AMAPA;DUQUE DE CAXIAS;36;
WILIAM;DUQUE DE CAXIAS;1;
VILA IDEAL;DUQUE DE CAXIAS;534;
SARACURURNA;DUQUE DE CAXIAS;1;
SAO BENTO;DUQUE DE CAXIAS;227;
PARQUE ALEGRIA;DUQUE DE CAXIAS;1;
PARQUE DAS NACOES;DUQUE DE CAXIAS;5;
ELISEOS;DUQUE DE CAXIAS;1;
FLOR DO AMANHA;DUQUE DE CAXIAS;1;
PARQUE SAO PEDRO DE ALCANTARA;DUQUE DE CAXIAS;153;
PARQUE SANTA LUCIA;DUQUE DE CAXIAS;104;
COMPLEXO DA MAGUEIRINHA;DUQUE DE CAXIAS;1;
CANGULU;DUQUE DE CAXIAS;5;
IPE;PINHEIRAL;14;
TRES POCOS;PINHEIRAL;3;
PALMEIRAS;PINHEIRAL;1;
CENTRO;PINHEIRAL;7;
PARQUE MAIRA;PINHEIRAL;1;
PINHERAL;PINHEIRAL;1;
CRUZEIRO;PINHEIRAL;1;
VARJAO;PINHEIRAL;1;
MACACO;UMBAUBA;1;
DOUTOR MANINHO;CARATINGA;1;
DENIS MOURA DE CARVALHO;CARATINGA;1;
POVOADO NOVO MARCO;REMANSO;1;
WERNECK;PARAIBA DO SUL;5;
PALIAS;PARAIBA DO SUL;1;
BARRINHA;PARAIBA DO SUL;2;
PONTE PRETA;PARAIBA DO SUL;1;
BROCOTO;PARAIBA DO SUL;2;
CENTRO;PARAIBA DO SUL;12;
INEMA;PARAIBA DO SUL;1;
VERNECK;PARAIBA DO SUL;2;
GRAMA;PARAIBA DO SUL;1;
LIBERDADE;PARAIBA DO SUL;6;
BELA VISTA;PARAIBA DO SUL;3;
PALHAS;PARAIBA DO SUL;3;
JATOBA;PARAIBA DO SUL;1;
LIMOEIRO;PARAIBA DO SUL;2;
ILHA;PORCIUNCULA;1;
SANTA CLARA;PORCIUNCULA;2;
CENTRO;PORCIUNCULA;1;
BELA VISTA;PORCIUNCULA;1;
ROSARIO;NAZARENO;1;
BARREIRO;CARAPEBUS;1;
CENTRO;CARAPEBUS;1;
CAPELINHA DO AMPARO;CARAPEBUS;1;
COABE DO BOSQUE;RIO BRANCO;2;
AEROPORTO;MURIAE;1;
SAFIRA;MURIAE;1;
MANOEL PIMENTA;TEOFILO OTONI;1;
CENTRO;CASA BRANCA;1;
SANTA AMALIA;VASSOURAS;2;
GRECCO;VASSOURAS;1;
GRAMINHA;VASSOURAS;1;
TOSSINHOS;VASSOURAS;1;
MELO AFONSO;VASSOURAS;1;
REPRESA;VASSOURAS;1;
MADRUGA;VASSOURAS;1;
CARVALEIRA;VASSOURAS;1;
BOCAINA;VASSOURAS;3;
TAMBASCO;VASSOURAS;1;
CARVALHEIRA;VASSOURAS;2;
ANDRADE COSTA;VASSOURAS;1;
CENTRO;VASSOURAS;12;
TINGUA;VASSOURAS;2;
BACIA DE PEDRA;VASSOURAS;9;
BARAO DE VASSOURAS;VASSOURAS;5;
