N HORIZONTE;NILOPOLIS;179;NOVO HORIZONTE
N MEXICO;SAO GONCALO;575;NOVO MEXICO
OITICICA II;RIO DE JANEIRO;5;OITICICA II
O BILAC;DUQUE DE CAXIAS;33;OLAVO BILAC
O CRUZ;RIO DE JANEIRO;1117;OSWALDO CRUZ
O PRETO;NOVA IGUACU;187;OURO PRETO
O PEDRAS;ITABORAI;39;OUTEIRO DAS PEDRAS
V. PACIENCIA;RIO DE JANEIRO;1;PACIENCIA
P MIGUEL;RIO DE JANEIRO;3410;PADRE MIGUEL
PE MIGUEL;RIO DE JANEIRO;4;PADRE MIGUEL
PD MIGUEL;RIO DE JANEIRO;3;PADRE MIGUEL
PDE MIGUEL;RIO DE JANEIRO;2;PADRE MIGUEL
PE  MIGUEL;RIO DE JANEIRO;1;PADRE MIGUEL
P POLVORA;NILOPOLIS;345;PAIOL POLVORA
P ANGELICA;DUQUE DE CAXIAS;42;PARADA ANGELICA
P LUCAS;RIO DE JANEIRO;22;PARADA DE LUCAS
PD LUCAS;RIO DE JANEIRO;2;PARADA DE LUCAS
PARQUE B AMAPA;DUQUE DE CAXIAS;33;PARQUE BARAO DO AMAPA
PARQUE B MAR;DUQUE DE CAXIAS;232;PARQUE BEIRA MAR
PARQUE B SORTE;BELFORD ROXO;98;PARQUE BOA SORTE
PARQUE B VENTURA;NOVA IGUACU;44;PARQUE BOA VENTURA
PARQUE B RETIRO;DUQUE DE CAXIAS;282;PARQUE BOM RETIRO
PARQUE D BOSCO;ITAGUAI;103;PARQUE DOM BOSCO
PARQUE D CAXIAS;DUQUE DE CAXIAS;129;PARQUE DUQUE DE CAXIAS
PARQUE E PEDREIRA;JAPERI;80;PARQUE ENGENHEIRO PEDREIRA
PARQUE E PEQUENO;NOVA IGUACU;132;PARQUE ENGENHO PEQUENO
PARQUE J PESSOA;DUQUE DE CAXIAS;422;PARQUE JOAO PESSOA
PARQUE M FONTE;NOVA IGUACU;22;PARQUE MARIA DA FONTE
PARQUE N RIO;SAO JOAO DE MERITI;285;PARQUE NOVO RIO
PARQUE S AMELIA;BELFORD ROXO;294;PARQUE SANTA AMELIA
PARQUE S EUGENIA;QUEIMADOS;99;PARQUE SANTA EUGENIA
PARQUE S LUCIA;DUQUE DE CAXIAS;105;PARQUE SANTA LUCIA
PARQUE S MARTA;DUQUE DE CAXIAS;26;PARQUE SANTA MARTA
PARQUE S ANTONIO;JAPERI;85;PARQUE SANTO ANTONIO
PARQUE S BENTO;BELFORD ROXO;412;PARQUE SAO BENTO
PARQUE S BERNARDO;BELFORD ROXO;301;PARQUE SAO BERNARDO
PARQUE S BONFIM;DUQUE DE CAXIAS;379;PARQUE SAO BONFIM
PARQUE S CARLOS;QUEIMADOS;219;PARQUE SAO CARLOS
PARQUE S F PAULA;NOVA IGUACU;54;PARQUE SAO FRANCISCO DE PAULA
S FRANCISCO;NOVA IGUACU;158;PARQUE SAO FRANCISO
PARQUE S FRANCISCO;NOVA IGUACU;158;PARQUE SAO FRANCISO
PARQUE S JOAO;DUQUE DE CAXIAS;30;PARQUE SAO JOAO
S JORGE;BELFORD ROXO;595;PARQUE SAO JORGE
